year,month,site_id,market,registrations,ftds,active_players,deposit_count,unique_depositors,sports_active_players,casino_active_players,live_casino_active_players,turnover_eur,winnings_eur,ggr_eur,withdrawal_adjustments_eur,deposit_adjustments_eur,bonus_withdrawn_eur,bonus_issued_eur,cashback_eur,goodwill_amount_eur,ngr_eur,deposits_eur,ftd_amount_eur,reload_amount_eur,withdrawals_eur,net_deposits_eur,sports_turnover_eur,sports_winnings_eur,sports_ggr_eur,sports_bonus_issued_eur,sports_bonus_withdrawn_eur,sports_ngr_eur,casino_turnover_eur,casino_winnings_eur,casino_ggr_eur,casino_bonus_issued_eur,casino_bonus_withdrawn_eur,casino_ngr_eur,live_casino_turnover_eur,live_casino_winnings_eur,live_casino_ggr_eur,live_casino_ngr_eur,vip_bonus_eur,total_bonus_eur,ggr_discrepancy,ggr_calculated,ggr_consistent
2023,3,1,RU,3,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,11,11,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,11,0,0,0,11,True
2023,3,1,SE,178,140,957,16685,802,0,937,138,8499800,8122619,377181,53,12275,16915,21597,42841,1144,309497,887427,9111,878316,587363,300064,0,0,0,0,0,0,7337186,6982682,354504,20970,16772,293746,1162614,1139937,22677,22677,6783,67684,0,377181,True
2023,3,1,TH,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2023,3,1,TN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2023,3,1,UA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2023,3,1,VN,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2023,4,1,AM,1,0,0,1,0,0,0,0,109,88,21,0,0,0,0,0,0,21,21,0,21,0,21,0,0,0,0,0,0,109,88,21,0,0,21,0,0,0,0,0,0,0,21,True
2023,4,1,AR,2,0,0,0,0,0,0,0,200,500,-300,0,0,0,0,0,0,-300,200,0,200,499,-300,200,500,-300,0,0,-300,0,0,0,0,0,0,0,0,0,0,0,0,0,-300,True
2023,4,1,AT,0,0,2,34,2,2,0,0,7650,9108,-1458,0,0,0,245,91,0,-1048,965,0,965,237,728,7473,8430,-957,245,0,-957,0,0,0,0,0,-91,0,0,0,0,0,91,0,-1458,True
2023,4,1,BG,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2023,4,1,BH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2023,4,1,BR,3384,660,866,2551,806,267,624,145,1131303,1090574,40729,303,2823,6301,8356,4162,78,28803,118395,11387,107008,77779,40615,74644,73380,1264,3486,4180,-2916,904974,856781,48193,4844,2122,41831,150558,158134,-7575,-7575,2537,13079,0,40729,True
2023,4,1,CA,86,35,146,780,111,72,103,16,958033,936175,21858,0,703,11604,11189,1386,55,9413,70322,5558,64764,56227,14095,456114,451002,5112,534,1361,3752,263545,248647,14898,10526,10236,3222,233315,230565,2750,2750,303,13347,0,21858,True
2023,4,1,CH,0,0,0,22,0,0,0,0,3272,1760,1512,0,88,105,38,0,0,1492,1493,0,1493,0,1493,3272,1587,1685,38,105,1580,0,0,0,0,0,0,0,0,0,0,88,193,0,1512,True
2023,4,1,CL,245,69,125,337,102,81,56,12,96079,88302,7777,175,360,1176,1223,448,41,6931,22610,1562,21048,16251,6359,45160,41237,3923,667,792,3131,36831,33463,3368,535,384,2495,13940,12627,1313,1313,9,1674,0,7777,True
2023,4,1,FI,377,292,1342,10494,1092,495,1100,280,4659964,4505377,154587,1162,11115,48490,40020,22649,716,82475,695839,18920,676920,558377,137462,1254256,1244301,9956,7331,12525,-2569,2961690,2830291,131398,27875,31978,76055,414068,396143,17924,17924,4948,76803,0,154587,True
2023,4,1,HU,1,0,1,3,1,0,0,0,617,780,-163,0,0,0,0,0,0,-100,209,4,205,308,-99,511,659,-148,0,0,-148,74,26,48,0,0,48,0,0,0,0,0,0,0,-163,True
2023,4,1,IE,0,0,0,2,0,0,0,0,8849,8329,520,0,1173,0,35,0,0,502,1167,0,1167,1820,-653,1525,1249,276,35,0,276,7324,7081,243,0,0,243,0,0,0,0,18,18,0,520,True
2023,4,1,IN,21,0,0,4,0,0,0,0,154,118,36,0,0,0,0,0,0,36,90,0,90,54,36,0,0,0,0,0,0,0,0,0,0,0,0,154,118,36,36,0,0,0,36,True
2023,4,1,MK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2023,4,1,MO,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,10,0,0,0,0,0,10,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,True
2023,4,1,MT,4,1,5,31,4,2,3,2,41330,46055,-4725,0,9,0,39,134,9,-4867,2312,39,2274,7186,-4873,1838,1829,9,0,0,9,18567,21481,-2914,39,0,-3057,20915,22734,-1819,-1819,0,143,0,-4725,True
2023,4,1,NG,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2023,4,1,NL,0,0,1,3,1,0,1,0,132,95,37,0,0,0,0,0,0,37,37,0,37,0,37,0,0,0,0,0,0,132,95,37,0,0,37,0,0,0,0,0,0,0,37,True
2023,4,1,NO,191,110,509,4344,378,270,328,114,3070425,2903210,167215,520,6983,20441,17699,11200,264,132739,362923,7792,355131,214903,148021,701138,662916,38222,7183,9232,28990,1794658,1685668,108990,8459,8801,88725,559734,536215,23519,23519,6086,37992,0,167215,True
2023,4,1,NZ,30,15,22,149,21,1,20,3,59339,58102,1237,0,59,0,284,0,59,1178,7484,353,7131,6045,1438,538,423,115,10,0,115,48165,46806,1359,274,0,1300,10626,10863,-237,-237,0,59,0,1237,True
2023,4,1,PE,34,12,35,149,26,28,9,4,249146,240654,8492,0,7,965,343,51,0,7547,11300,511,10789,2844,8456,4822,5804,-981,233,310,-1291,96138,93387,2751,110,655,2045,148001,141208,6793,6793,0,1016,0,8492,True
