"year","month","site_id","market","registrations","ftds","active_players","deposit_count","unique_depositors","sports_active_players","casino_active_players","live_casino_active_players","turnover_eur","winnings_eur","ggr_eur","withdrawal_adjustments_eur","deposit_adjustments_eur","bonus_withdrawn_eur","bonus_issued_eur","cashback_eur","goodwill_amount_eur","ngr_eur","deposits_eur","ftd_amount_eur","reload_amount_eur","withdrawals_eur","net_deposits_eur","sports_turnover_eur","sports_winnings_eur","sports_ggr_eur","sports_bonus_issued_eur","sports_bonus_withdrawn_eur","sports_ngr_eur","casino_turnover_eur","casino_winnings_eur","casino_ggr_eur","casino_bonus_issued_eur","casino_bonus_withdrawn_eur","casino_ngr_eur","live_casino_turnover_eur","live_casino_winnings_eur","live_casino_ggr_eur","live_casino_ngr_eur","vip_bonus_eur","total_bonus_eur"
"2,023","3","1","CL","  338 ","  70 ","  117 ","  413 ","  97 ","  71 ","  55 ","  8 ","  81,692 ","  74,220 ","  8,366 ","0","  209 ","  810 ","  1,542 ","  336 ","0","  7,171 ","  15,702 ","  1,699 ","  14,003 ","  8,300 ","  7,402 ","  27,841 ","  24,000 ","  3,841 ","  838 ","  133 ","  3,708 ","  43,053 ","  38,991 ","  4,062 ","  689 ","  676 ","  3,050 ","  10,751 ","  10,288 ","  463 ","  463 ","  51 ","  1,196 "
"2,023","3","1","DE","0","0","0","0","0","0","0","0","0","0","0","0","  543 ","0","0","0","0","0","0","0","0","  543 ","- 543 ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2,023","3","1","FI","  364 ","  291 ","  1,239 ","  10,533 ","  1,075 ","  535 ","  959 ","  128 ","  5,086,152 ","  4,854,144 ","  241,881 ","  509 ","  12,444 ","  34,147 ","  33,714 ","  25,586 ","  764 ","  176,398 ","  697,523 ","  16,047 ","  681,476 ","  526,977 ","  170,546 ","  920,282 ","  849,217 ","  71,065 ","  10,883 ","  15,233 ","  55,832 ","  3,169,879 ","  3,010,869 ","  159,010 ","  22,609 ","  18,450 ","  114,210 ","  964,908 ","  953,102 ","  11,806 ","  11,806 ","  4,986 ","  65,483 "
"2,023","3","1","HU","  3 ","  1 ","  1 ","  1 ","  1 ","  1 ","  0 ","0","  73 ","  70 ","  3 ","0","0","0","  9 ","0","0","  3 ","  18 ","  14 ","  4 ","0","  18 ","  27 ","  33 ","- 6 ","0","0","- 6 ","  46 ","  37 ","  9 ","  9 ","0","  9 ","0","0","0","0","0","0"
"2,023","3","1","IE","0","0","  0 ","  7 ","  0 ","  0 ","  0 ","0","  29,856 ","  27,626 ","  2,230 ","0","  61 ","  595 ","  508 ","0","0","  1,574 ","  3,465 ","0","  3,465 ","  1,891 ","  1,574 ","  5,263 ","  3,887 ","  1,376 ","  438 ","  595 ","  781 ","  24,593 ","  23,739 ","  854 ","  70 ","0","  854 ","0","0","0","0","  61 ","  656 "
"2,023","3","1","IN","  10 ","  1 ","  1 ","  3 ","  1 ","  0 ","  0 ","  1 ","  1,139 ","  1,108 ","  31 ","0","0","0","  5 ","0","0","  31 ","  413 ","  8 ","  405 ","  382 ","  31 ","  48 ","  76 ","- 28 ","  5 ","0","- 28 ","  16 ","  9 ","  7 ","0","0","  7 ","  426 ","  373 ","  52 ","  52 ","0","0"
"2,023","3","1","MC","  0 ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2,023","3","1","MK","  1 ","0","  0 ","  1 ","  0 ","0","  0 ","0","  84 ","  172 ","- 88 ","0","0","0","0","0","0","- 88 ","  18 ","0","  18 ","  105 ","- 88 ","0","0","0","0","0","0","  84 ","  172 ","- 88 ","0","0","- 88 ","0","0","0","0","0","0"
"2,023","3","1","MT","  4 ","  1 ","  4 ","  24 ","  3 ","  1 ","  2 ","  1 ","  6,497 ","  7,651 ","- 1,155 ","0","  35 ","0","  114 ","  2 ","0","- 1,192 ","  1,246 ","  46 ","  1,200 ","  2,415 ","- 1,169 ","  321 ","  237 ","  84 ","0","0","  84 ","  3,411 ","  4,891 ","- 1,480 ","  51 ","0","- 1,482 ","  2,751 ","  2,510 ","  241 ","  241 ","  35 ","  37 "
"2,023","3","1","MX","  2 ","  0 ","  0 ","  0 ","  0 ","0","  0 ","0","  37 ","  27 ","  11 ","0","0","0","0","0","0","  11 ","  11 ","  11 ","0","0","  11 ","0","0","0","0","0","0","  37 ","  27 ","  11 ","0","0","  11 ","0","0","0","0","0","0"
"2,023","3","1","NG","  3 ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2,023","3","1","NL","0","0","  0 ","0","0","0","  0 ","0","  0 ","0","  0 ","0","0","0","0","0","0","  0 ","0","0","0","0","0","0","0","0","0","0","0","  0 ","0","  0 ","0","0","  0 ","0","0","0","0","0","0"
"2,023","3","1","NO","  213 ","  110 ","  444 ","  4,515 ","  355 ","  259 ","  260 ","  74 ","  3,440,624 ","  3,260,655 ","  183,891 ","  255 ","  9,102 ","  18,015 ","  20,099 ","  9,889 ","  101 ","  147,349 ","  337,654 ","  7,503 ","  330,151 ","  189,484 ","  148,170 ","  809,166 ","  723,542 ","  85,624 ","  12,739 ","  13,937 ","  71,687 ","  1,983,010 ","  1,903,612 ","  79,398 ","  7,236 ","  4,078 ","  65,329 ","  638,485 ","  619,616 ","  18,870 ","  18,870 ","  8,537 ","  36,542 "
